/Resources/Levels/Level4.txt
/Resources/Levels/level3_background.png
w;50;30
w;100;30
w;150;30
w;200;30
w;250;30
w;300;30
w;350;30
w;400;30
w;450;30
w;500;30
w;550;30
w;600;30
w;650;30
k;0;90
w;50;90
w;100;90
w;150;90
w;200;90
w;250;90
w;300;90
w;350;90
w;400;90
w;450;90
w;500;90
w;550;90
w;600;90
w;650;90
k;700;90
w;50;150
w;100;150
w;150;150
w;200;150
w;250;150
w;300;150
w;350;150
w;400;150
w;450;150
w;500;150
w;550;150
w;600;150
w;650;150
d;275;382
d;772;352
d;265;332
d;212;361
d;725;301
b;638;314
b;987;362
d;66;351
b;524;324
d;187;345
